product_id,aspect,resolution,smart,colour
2498595790,7,5,0,5
3900518013,7,5,1,3
1770021002,7,5,0,1
238539032,7,5,0,3
2666429808,6,5,0,1
3316812834,7,3,1,2
1214650588,7,3,0,1
2247695690,7,3,0,4
2699740394,7,3,0,5
361362569,6,5,0,3
3199517795,6,4,1,2
784984432,7,4,1,2
2357787917,7,5,1,1
2870769119,7,3,0,5
3943857453,6,5,1,1
1363648056,6,5,1,5
2800717925,7,4,1,3
1865502055,6,5,0,2
3045596767,6,3,1,3
724463212,7,4,0,4
2635679796,6,3,1,1
765629388,7,4,1,4
230882203,7,5,1,3
1577220011,6,5,1,1
229650798,6,5,1,5
2010512493,6,3,0,2
990994746,7,4,1,4
1824926140,7,5,0,5
3101607911,6,5,0,5
1006432235,6,5,1,5
154689155,6,3,0,3
1917160152,6,5,0,1
658115667,6,5,0,2
1259774222,6,3,1,4
990653825,6,5,0,4
2854326109,6,3,1,2
2010894394,6,5,1,4
1210961674,6,4,1,1
2110388803,6,3,0,5
1951893656,6,5,1,1
1475471862,6,4,1,2
821285372,6,3,0,3
1660888848,6,3,0,1
182171239,7,3,0,1
3680770075,7,4,0,5
2753313179,7,5,1,4
152808324,7,3,1,3
2232255385,6,4,0,5
3620774971,6,4,0,4
1173075850,6,4,0,3
1209753751,6,4,0,2
2515191320,7,3,0,1
809961363,6,5,0,2
957532293,6,3,1,5
1329926701,6,3,0,4
2765790736,6,5,1,5
3914975472,7,5,1,4
850768870,6,3,0,5
2173208365,7,5,0,2
2137805880,7,5,0,4
1963307538,6,3,1,4
1802936681,6,5,1,1
2846769319,6,5,0,2
4091421702,7,5,1,1
4199639279,6,5,0,1
2271424968,7,4,1,4
2402764798,6,5,0,2
1714787077,6,4,1,4
2709333838,7,5,0,2
1165381383,6,3,1,5
3096965875,7,4,1,2
3772199428,6,5,0,5
3133455929,7,3,1,5
2211338031,7,3,1,1
678810584,7,4,1,2
1507651732,6,3,0,1
612436799,6,3,1,3
1059573397,7,3,0,1
2227680470,6,3,1,4
1051310625,6,4,0,3
1971588269,6,4,1,3
662039436,7,4,0,4
2329546708,6,4,0,2
1534068317,6,5,0,2
4281867147,7,5,0,2
3906362963,7,3,0,2
1773548812,6,5,1,2
1155383781,7,5,1,2
3055954852,7,4,0,5
3691780223,6,3,0,3
2419741476,7,3,0,5
1637174121,7,4,0,5
150003779,6,4,1,1
3240142788,7,5,1,3
4079701320,7,3,0,1
1016344040,7,3,0,1
164881003,6,3,1,2
3266204367,6,3,0,2
3298603884,6,3,0,1
2122272781,7,4,0,3
2499365731,7,4,1,4
3842314936,6,4,1,1
3976874166,6,3,0,2
747579149,6,5,1,3
165429553,6,4,0,3
2065156013,6,4,1,3
1087466547,6,3,1,5
2710871834,7,5,1,5
1169228230,6,3,0,4
1588011182,6,3,0,2
1336664360,7,3,1,5
1810538435,6,5,1,1
3152136773,7,3,0,3
2802780460,7,3,1,4
4230096275,7,5,1,2
1259206881,6,5,0,1
4081645976,7,3,0,3
3115381574,7,5,1,3
3508426083,7,3,0,2
1603207067,6,5,1,2
1051062865,7,3,0,5
1744858635,6,5,1,2
2910889992,6,4,1,5
1628910575,7,4,1,4
2519951522,6,4,1,1
1508307426,7,3,0,2
2686458556,6,3,0,1
566921044,7,5,1,5
3635801270,7,5,1,4
294059439,7,3,1,3
2493849007,6,3,0,1
1402135730,7,4,0,1
2743528799,7,3,0,5
4043515041,7,4,0,2
3720578939,7,4,0,2
1117806620,7,5,0,2
3922307838,6,4,1,2
1640630342,7,3,0,5
1711722859,6,3,0,5
2326118903,6,4,1,3
3613892596,6,4,0,2
279813362,6,4,0,2
3999005811,6,5,0,4
1975260283,6,4,0,5
2316497961,6,4,1,2
3477373091,7,5,0,5
2193095682,6,5,1,4
2414293947,7,4,0,4
3579548702,6,3,0,3
4140845795,7,4,1,4
4271573421,6,4,0,1
2442588331,7,4,1,4
326236530,6,3,0,2
2101470837,7,3,0,2
2788006498,6,4,1,1
978606885,6,3,0,5
2400442706,6,3,0,1
3770297894,6,5,1,5
714306919,7,5,1,2
1569503535,6,4,0,1
4124845833,6,3,0,1
1771359168,6,3,0,2
1375892617,7,3,1,1
995733810,6,4,1,2
2855493518,7,4,1,3
2116780147,6,3,0,4
1497773755,6,3,1,1
4141577013,7,4,1,2
3778093519,6,3,0,3
3304913136,6,5,0,3
2441117399,7,5,1,1
3463195238,6,3,1,5
4125980461,7,3,1,4
1261180606,7,3,1,1
650407239,6,3,1,5
3235888070,6,5,1,5
3863113999,7,3,1,1
1958590151,7,4,0,4
847289277,6,3,0,2
414471375,6,5,1,4
2601703189,6,5,0,5
3832469880,7,3,0,3
3856973764,6,3,1,4
4133154274,6,4,1,2
982774960,6,3,1,3
2699643265,6,3,0,5
2824709302,6,3,1,3
278757634,7,3,1,1
3405592389,7,5,1,1
1291958591,6,4,1,2
2411283759,6,5,0,1
1052623718,6,5,1,1
2775106214,6,5,0,5
3106559194,7,3,0,2
177195644,7,3,1,2
2127444713,6,5,1,5
2579701377,6,4,0,3
3242791427,6,4,1,2
3068245629,6,3,1,2
3530694958,7,5,0,5
3926790289,6,3,0,2
2395364339,6,4,1,2
2577653293,6,3,1,1
1919455537,6,3,1,5
801629966,6,3,0,1
3171269544,6,3,0,4
3370484831,6,3,0,1
1335626183,6,3,1,5
3279239256,7,4,0,3
1016764554,6,5,0,4
1070487616,6,3,0,1
1410058461,6,3,0,1
1586489303,6,4,1,2
3932235043,7,5,1,1
3034392545,6,3,1,4
1659999752,6,4,0,4
2055250485,7,5,1,4
1659921988,6,3,0,3
2517030613,6,3,1,2
1152404182,6,3,1,4
962667604,6,3,1,2
2565851975,6,5,1,3
1259124095,7,5,0,1
4270266109,6,5,0,2
2411490074,7,4,1,3
4055296274,6,4,0,3
3950895166,7,3,1,1
3370290549,6,4,0,4
1282819614,7,3,0,2
3092681061,6,3,0,5
3606650818,6,4,0,5
4173733152,6,5,0,3
2577545612,6,4,1,5
3862772022,7,5,1,5
2094531929,7,5,0,2
3873392930,7,3,1,5
427510569,6,5,1,5
1614537738,7,4,1,1
703402833,7,3,0,4
3026559683,7,4,1,5
2898564563,6,4,0,5
4207620356,6,3,1,1
1729678238,6,4,1,2
1678145926,7,3,0,4
554784379,6,4,0,1
1266294682,6,3,0,1
3019568379,6,3,1,4
2847908751,6,5,0,1
2133249770,6,5,0,3
977681959,6,3,1,3
3978480470,7,4,0,5
2258987461,6,5,1,4
4164642255,7,5,0,3
2651101715,7,3,1,3
892519796,6,5,0,4
3993026112,6,4,1,4
1166194598,7,3,1,5
2645485846,6,5,1,5
3101634554,6,3,1,4
2554971843,7,5,1,4
