product_id,storage,interface,colour
3686039220,3,3,3
3535236399,4,3,4
2318734778,1,2,5
1786422159,3,2,5
919309339,2,2,2
2828208853,3,3,3
3552678974,4,3,5
3008699784,1,2,3
413532035,3,1,4
1116514869,4,1,1
313761209,2,1,5
2110877971,3,2,4
2601623118,3,1,4
3557938862,3,1,3
412753940,1,2,1
3471455231,2,2,1
3179440698,1,2,4
664982039,4,2,4
860624065,1,2,1
3808720049,3,2,4
1924028448,1,2,5
3110120603,3,2,4
3395566829,4,2,5
1585921008,1,2,3
4112664284,3,1,2
3221346634,4,2,5
764049226,3,2,5
2954431990,4,2,2
524597162,1,3,3
2202756045,2,2,5
2056676170,2,1,5
333560722,3,2,2
3722842847,2,3,4
2841301663,2,1,3
3156151030,1,2,3
2163029413,1,3,5
4172245345,4,1,4
1991887109,1,1,2
2296679216,2,2,2
1393031264,4,2,4
2774046625,2,1,4
2696057814,1,2,3
1842285075,2,1,1
1874288792,4,3,2
2493691007,2,2,4
3499288174,1,2,5
3970121728,3,3,3
2187322976,3,2,4
1458717960,3,2,3
1501035741,2,2,2
2865582408,4,3,5
94150249,1,3,5
3947051031,1,3,3
4257338540,1,3,4
523097467,4,2,4
3965266576,2,3,5
2702519596,3,2,3
1767113837,4,1,4
1258347719,4,2,5
496045164,1,3,2
3530960460,1,2,4
3349915581,3,2,3
1709631254,2,1,2
2858905660,3,2,1
1218487728,2,1,4
377671848,4,2,1
1537874515,3,2,2
1356561905,3,1,1
484217760,4,2,1
542673924,3,2,2
3965239702,3,3,4
3232687779,2,2,2
672727645,4,3,1
2176670890,3,2,1
895109501,3,1,3
1306904433,2,2,3
1244367611,3,2,1
1740294708,4,2,4
35339218,3,1,5
3912011505,3,3,4
1670608714,2,1,4
551968915,2,2,1
799322129,3,2,3
1022155624,3,3,3
1355790957,4,3,2
2558143809,2,1,2
907521069,3,2,3
483050018,4,2,5
942191850,4,2,1
2354507237,3,2,1
87956325,1,3,1
3641802497,4,2,4
1978051819,2,2,5
4194529540,2,2,5
2896127443,2,2,5
187755727,4,1,4
1831982435,1,2,2
3738854651,2,3,4
3726272412,4,1,1
3931141781,3,3,5
897976391,3,3,3
2504860730,2,2,4
1785665664,1,2,5
982356961,2,2,1
3315365081,1,1,2
930938131,2,3,5
1696862446,3,3,1
3113702176,3,2,1
